| Epoch: 0 | Train Accuracy: 0.012271540239453316 | Train Loss: 6.442716121673584 | Test Accuracy: 0.00805459264665842 | Test Loss: 5.924689769744873 |
| Epoch: 100 | Train Accuracy: 0.7895561456680298 | Train Loss: 0.8213533163070679 | Test Accuracy: 0.184808149933815 | Test Loss: 7.567814826965332 |
| Epoch: 200 | Train Accuracy: 0.799738883972168 | Train Loss: 0.564849853515625 | Test Accuracy: 0.19207964837551117 | Test Loss: 8.836798667907715 |
| Epoch: 300 | Train Accuracy: 0.8245430588722229 | Train Loss: 0.4788835346698761 | Test Accuracy: 0.19935116171836853 | Test Loss: 8.920892715454102 |
| Epoch: 400 | Train Accuracy: 0.8443863987922668 | Train Loss: 0.4145424962043762 | Test Accuracy: 0.1981205940246582 | Test Loss: 8.989581108093262 |
| Epoch: 500 | Train Accuracy: 0.8715404868125916 | Train Loss: 0.34592676162719727 | Test Accuracy: 0.198008731007576 | Test Loss: 9.076343536376953 |
| Epoch: 600 | Train Accuracy: 0.9073107242584229 | Train Loss: 0.2500295639038086 | Test Accuracy: 0.20460902154445648 | Test Loss: 9.288016319274902 |
| Epoch: 700 | Train Accuracy: 0.9342036843299866 | Train Loss: 0.1736047863960266 | Test Accuracy: 0.20528022944927216 | Test Loss: 9.41783618927002 |
| Epoch: 800 | Train Accuracy: 0.9613577127456665 | Train Loss: 0.11136823892593384 | Test Accuracy: 0.20740574598312378 | Test Loss: 9.505414962768555 |
| Epoch: 900 | Train Accuracy: 0.990078330039978 | Train Loss: 0.05714570730924606 | Test Accuracy: 0.20874817669391632 | Test Loss: 9.599654197692871 |
| Epoch: 1000 | Train Accuracy: 0.995039165019989 | Train Loss: 0.03741927444934845 | Test Accuracy: 0.21456538140773773 | Test Loss: 9.396212577819824 |
| Epoch: 1100 | Train Accuracy: 0.9979112148284912 | Train Loss: 0.027805738151073456 | Test Accuracy: 0.21747398376464844 | Test Loss: 9.217297554016113 |
| Epoch: 1200 | Train Accuracy: 1.0 | Train Loss: 0.02302970364689827 | Test Accuracy: 0.2190401554107666 | Test Loss: 9.098374366760254 |
| Epoch: 1300 | Train Accuracy: 1.0 | Train Loss: 0.01961050182580948 | Test Accuracy: 0.22407427430152893 | Test Loss: 9.031285285949707 |
| Epoch: 1400 | Train Accuracy: 1.0 | Train Loss: 0.01811508648097515 | Test Accuracy: 0.22608792781829834 | Test Loss: 8.974228858947754 |
| Epoch: 1500 | Train Accuracy: 1.0 | Train Loss: 0.016891470178961754 | Test Accuracy: 0.2267591506242752 | Test Loss: 8.948507308959961 |
| Epoch: 1600 | Train Accuracy: 1.0 | Train Loss: 0.01577886939048767 | Test Accuracy: 0.22810158133506775 | Test Loss: 8.941462516784668 |
| Epoch: 1700 | Train Accuracy: 1.0 | Train Loss: 0.014644068665802479 | Test Accuracy: 0.22787784039974213 | Test Loss: 8.951749801635742 |
| Epoch: 1800 | Train Accuracy: 1.0 | Train Loss: 0.013532217592000961 | Test Accuracy: 0.22720661759376526 | Test Loss: 8.970114707946777 |
| Epoch: 1900 | Train Accuracy: 1.0 | Train Loss: 0.01267968025058508 | Test Accuracy: 0.22720661759376526 | Test Loss: 8.983412742614746 |
| Epoch: 2000 | Train Accuracy: 1.0 | Train Loss: 0.0118875028565526 | Test Accuracy: 0.22743035852909088 | Test Loss: 9.000024795532227 |
| Epoch: 2100 | Train Accuracy: 1.0 | Train Loss: 0.011148592457175255 | Test Accuracy: 0.2275422364473343 | Test Loss: 9.022379875183105 |
| Epoch: 2200 | Train Accuracy: 1.0 | Train Loss: 0.010443359613418579 | Test Accuracy: 0.22821344435214996 | Test Loss: 9.044705390930176 |
| Epoch: 2300 | Train Accuracy: 1.0 | Train Loss: 0.009807315655052662 | Test Accuracy: 0.22910840809345245 | Test Loss: 9.072304725646973 |
| Epoch: 2400 | Train Accuracy: 1.0 | Train Loss: 0.009197181090712547 | Test Accuracy: 0.2286609262228012 | Test Loss: 9.0988187789917 |
| Epoch: 2500 | Train Accuracy: 1.0 | Train Loss: 0.008637192659080029 | Test Accuracy: 0.22877278923988342 | Test Loss: 9.122997283935547 |
| Epoch: 2600 | Train Accuracy: 1.0 | Train Loss: 0.008122870698571205 | Test Accuracy: 0.22843718528747559 | Test Loss: 9.146728515625 |
| Epoch: 2700 | Train Accuracy: 1.0 | Train Loss: 0.007633252069354057 | Test Accuracy: 0.2294440120458603 | Test Loss: 9.171065330505371 |
| Epoch: 2800 | Train Accuracy: 1.0 | Train Loss: 0.0071810767985880375 | Test Accuracy: 0.22933213412761688 | Test Loss: 9.194072723388672 |
| Epoch: 2900 | Train Accuracy: 1.0 | Train Loss: 0.006756303831934929 | Test Accuracy: 0.2285490483045578 | Test Loss: 9.21623706817627 |
| Epoch: 3000 | Train Accuracy: 1.0 | Train Loss: 0.006362794432789087 | Test Accuracy: 0.22933213412761688 | Test Loss: 9.232605934143066 |
| Epoch: 3100 | Train Accuracy: 1.0 | Train Loss: 0.005992956459522247 | Test Accuracy: 0.2295558750629425 | Test Loss: 9.246048927307129 |
| Epoch: 3200 | Train Accuracy: 1.0 | Train Loss: 0.0056512923911213875 | Test Accuracy: 0.22843718528747559 | Test Loss: 9.25616455078125 |
| Epoch: 3300 | Train Accuracy: 1.0 | Train Loss: 0.00533301429823041 | Test Accuracy: 0.2286609262228012 | Test Loss: 9.266805648803711 |
| Epoch: 3400 | Train Accuracy: 1.0 | Train Loss: 0.005031428765505552 | Test Accuracy: 0.2295558750629425 | Test Loss: 9.274807929992676 |
| Epoch: 3500 | Train Accuracy: 1.0 | Train Loss: 0.0047477781772613525 | Test Accuracy: 0.23000335693359375 | Test Loss: 9.27987289428711 |
| Epoch: 3600 | Train Accuracy: 1.0 | Train Loss: 0.004486174788326025 | Test Accuracy: 0.23112204670906067 | Test Loss: 9.282928466796875 |
| Epoch: 3700 | Train Accuracy: 1.0 | Train Loss: 0.004240141250193119 | Test Accuracy: 0.2324644774198532 | Test Loss: 9.284760475158691 |
| Epoch: 3800 | Train Accuracy: 1.0 | Train Loss: 0.0040087709203362465 | Test Accuracy: 0.2324644774198532 | Test Loss: 9.285614967346191 |
